title,salaries,company_names,addresses,requirements
Frontend-разработчик,Not provided,Сбер. IT,Москва,Not provided
.net разработчик (frontend),Not provided,Улыбка радуги,Санкт-Петербург,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Frontend-разработчик,Not provided,Сбер для экспертов,Москва,Not provided
Frontend-разработчик (vue.js),Not provided,Fix Price,Москва,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Middle / Senior Frontend Developer,Not provided,Сбер для экспертов,Москва,Not provided
Middle Full Stack Developer,Not provided,ООО Amaya Soft,Москва,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Frontend-разработчик (верстальщик),50 000 – 90 000 руб.,ООО Вебпространство,Уфа,Not provided
Frontend-разработчик,50 000 – 90 000 руб.,Kvando Technologies,Брянск,"Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
Frontend разработчик (junior/middle),50 000 – 90 000 руб.,ООО Инфоурок,Москва,Not provided
Frontend-разработчик,50 000 – 90 000 руб.,ООО Айти Системы,"Нижний Новгород, Горьковская","Опыт коммерческой разработки не менее 3-х лет. Хороший уровень знаний TypeScript и React. Опыт написания unit-тестов. Опыт работы с AngularJS(Angular или подобные) или Blazor и стандартный тулинг вокруг них. Знание технологий: C#, ASP.NET MVC, Web...Знание JavaScript/TypeScript, СSS, HTML. Знание библиотеки React и идеологию Redux. Желание писать Unit тесты. Умение работать со Swagger API.Понимание клиент-серверной архитектуры, опыт взаимодействия с API. Опыт работы с: vue.js - от 3-х лет, NuxtJS, HTML, CSS, VanillaJS...Знание Javascript (ES6/ES7), HTML, CSS (PostCSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...Отличное знание HTML, CSS, JS (ES6+). Умение работать с CSS-препроцессорами (у нас SCSS). Опыт коммерческой разработки от...Какие знания необходимы: - опыт работы с JS. - опыт работы с React или Vue желателен. -опыт работы с TypeScript желателен. -HTML(5)/CSS(3), Flex, кроссбраузерность. Препроцессоры: SASS (SCSS). JavaScript, Vanilla JS. Git. Создание адаптивной верстки, верстка под мобильные устройства. Опыт работы во frontend-разработке от 2-х лет. Хорошие знания CSS3/Sass, HTML5, Bootstrap 5, Gulp. Техническое образование (допускается неоконченное). Ответственность. Обучаемость. Умение работать в команде. Приветствуется наличие примеров Ваших проектов. HTML - базовое знание тегов, формы...Отличные знания Html5, Css3. Кроссбраузерная и адаптивная верстка. Знания JavaScript ES6+. Опыт работы в 1С...Опыт разработки кросс браузерных веб-приложений с использованием современных фреймворков. Знание React/Angular. Знание препроцессоров CSS (Sass, Less, Stylus и...Three.js. HTML5. CSS3 / SCSS. Git. Какие навыки мы ждем от тебя: Знание JavaScript, HTML, CSS. Знание базовых команд...Готовность к релокации. Уровень английского от B1. Опыт работы с React от 5 лет. Хорошие знания JS / TS. серверный код (прокси). - хороший английский язык, идеальная грамматика не обязательна.Опыт работы с WebRTC (текстовыми/голосовыми/видео чатами) ОБЯЗАТЕЛЬНО. Опыт работы с Reaсt Js. Знание HTML5, CSS3 и...Опыт разработки на frontend от 1 года. Хорошее знание React.JS, его компонентов и принципов работы. Знание Redux, Next.JS, TypeScript. Асинхронный код, не блокирующий работу страницы. Умение писать рабочий, поддерживаемый и тестируемый код. Примеры кода на Github. Опыт разработки на...Хорошими знаниями особенностей современной frontend разработки. Знанием правил и принципов оформления современного UI. Отличными знаниями современных фремворков: React + Redux..."
